date,infective,confirmed_total,deaths_total,recovered_total
2021-09-29,180211,779965,19063,580989
2021-09-30,162626,787905,19266,606311
2021-10-01,142197,794862,19402,633561
2021-10-02,118666,800352,19566,662418
2021-10-03,95069,805728,19680,691277
2021-10-04,72639,811111,19810,718960
2021-10-05,51295,815474,19944,744533
2021-10-06,45506,819837,20063,754566
2021-10-07,48129,823987,20188,755968
2021-10-08,51805,828771,20302,756962
2021-10-09,54894,833284,20407,758281
2021-10-10,36911,836812,20520,779679
2021-10-11,37866,840431,20635,782228
2021-10-12,39375,843380,20728,783575
2021-10-13,41539,846841,20834,784766
2021-10-14,44890,850992,20915,785485
2021-10-15,47676,854789,21008,786403
2021-10-16,49228,858010,21096,787984
2021-10-17,51018,861203,21159,789324
2021-10-18,52975,864371,21234,790460
2021-10-19,54068,867405,21309,792326
2021-10-20,55905,871051,21381,794063
2021-10-21,57929,874687,21452,795604
2021-10-22,56656,878672,21508,800806
2021-10-23,58614,882045,21585,802144
2021-10-24,61292,886090,21638,803458
2021-10-25,63543,889729,21703,804781
2021-10-26,64085,893324,21767,807770
