ds,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2021-01-01,-0.3874184244511412,0.2943504347826078
2021-01-02,-0.17292912182522602,0.24860108910891096
2021-01-03,-0.13796957235421164,0.283686730021598
2021-01-04,-0.06313094682230873,0.1944359576307828
2021-01-05,-0.06755846784635305,0.19231193785066905
2021-01-06,-0.10359006471095779,0.19957532355478871
2021-01-07,-0.10260406060606078,0.1970451515151516
2021-01-08,-0.13863609956709974,0.19428940259740254
2021-01-09,-0.12878203470715816,0.23296380911062897
2021-01-10,-0.13871701906412479,0.27705505632582283
2021-01-11,-0.11457050891692043,0.2087584471509354
2021-01-12,-0.0968718711923411,0.19854528285465642
2021-01-13,-0.09754611013986025,0.1914611800699299
2021-01-14,-0.0996494412920122,0.1903739196857268
2021-01-15,-0.13983677306515094,0.19142066899868823
2021-01-16,-0.14422721491228072,0.2338483157894739
2021-01-17,-0.13720701531728688,0.27189170240700217
2021-01-18,-0.13896651621384767,0.22122007449605643
2021-01-19,-0.09360503723171289,0.1928977748576435
2021-01-20,-0.10583564778216945,0.1951327492314446
2021-01-21,-0.0973437066315327,0.18972615283267433
2021-01-22,-0.11630656154183079,0.1811187209811652
2021-01-23,-0.12559977542932635,0.22592217965653824
2021-01-24,-0.14779962014134299,0.2757471598939929
2021-01-25,-0.1275306487202115,0.20971366284201248
2021-01-26,-0.1271433934859157,0.21004260123239465
2021-01-27,-0.12812849713530203,0.2028609299250774
2021-01-28,-0.10867476841640925,0.1997765946184387
2021-01-29,-0.10370330691325398,0.18052900924702756
2021-01-30,-0.11149935070671382,0.22337645759717267
2021-01-31,-0.1592863018534862,0.2887710414827896
2021-02-01,-0.11838719858156034,0.21758000443262418
2021-02-02,-0.11740006213936999,0.21049703950288504
2021-02-03,-0.06946769809650306,0.18229438689685734
2021-02-04,-0.08873708388814908,0.19083426542387952
2021-02-05,-0.11082957852706311,0.18439780390417046
2021-02-06,-0.115435984042553,0.22660864361702182
2021-02-07,-0.17267739014647107,0.2845220017754105
2021-02-08,-0.09816643872113671,0.2010284813499109
2021-02-09,-0.11576172306322335,0.20480669634906493
2021-02-10,-0.11858399021352314,0.2012079403914589
2021-02-11,-0.15220731197151788,0.22162611481975933
2021-02-12,-0.14563270258236868,0.2023588512911843
2021-02-13,-0.16252028953229394,0.24644795991091314
2021-02-14,-0.18496921542553185,0.30085097517730497
2021-02-15,-0.2923173112996871,0.3029534077713265
2021-02-16,-0.2646572130415368,0.2819558463599823
2021-02-17,-0.19684839213934807,0.24480761054042027
2021-02-18,-0.23101541108132229,0.260845169794459
2021-02-19,-0.184528301296379,0.21402758605274952
2021-02-20,-0.13434609298167152,0.23090285650424686
2021-02-21,-0.11878342551293475,0.2669623282783229
2021-02-22,-0.10199933928571436,0.20142350892857128
2021-02-23,-0.06251333035714271,0.18328003124999992
2021-02-24,-0.056210901383311036,0.17664103525211983
2021-02-25,-0.05498696157283274,0.17680235478105497
2021-02-26,-0.08271408217954447,0.17232382313532837
2021-02-27,-0.0675923087248321,0.20841418344518964
2021-02-28,-0.07293570853822073,0.2533997317836385
2021-03-01,-0.06153920982142857,0.18638507142857183
2021-03-02,-0.05944665620797853,0.18272453160017954
2021-03-03,-0.02401595525727069,0.16530698434004445
2021-03-04,-0.029193123042505605,0.16779056375838935
2021-03-05,-0.05363220575022459,0.16348724618149135
2021-03-06,-0.03416169819819824,0.19897710810810837
2021-03-07,-0.020585704003598732,0.23297854700854698
2021-03-08,-0.03725760898876403,0.17686962696629202
2021-03-09,-0.029143363349842428,0.1713703917154437
2021-03-10,-0.03491880341880335,0.1699334233018445
2021-03-11,-0.029469176788124156,0.16909625281151638
2021-03-12,-0.04408169293111205,0.16165013057181477
2021-03-13,0.0004466051328230495,0.19250752814047745
2021-03-14,-0.029172549728752273,0.24042564647377976
2021-03-15,-0.04221303523035233,0.1877292908762417
2021-03-16,-0.029355585178490844,0.17859048802530522
2021-03-17,-0.009569850407978238,0.16882919310970101
2021-03-18,-0.016967131221719483,0.1741378235294117
2021-03-19,-0.014302230248306996,0.15941905643340848
2021-03-20,0.046513627717391315,0.18300223278985492
2021-03-21,0.07225356852103128,0.21495340569877852
2021-03-22,0.006819614162505677,0.17037979573309137
2021-03-23,-0.012226608854404384,0.17182544500228233
2021-03-24,-0.017196675799086753,0.16935477168949772
2021-03-25,-0.024017258581235705,0.17133845766590416
2021-03-26,-0.022387125171939522,0.15792944979367257
2021-03-27,0.02417837454212448,0.18650097527472476
2021-03-28,0.010295749542961622,0.23085812614259563
2021-03-29,0.0033667416245984423,0.17135808627810872
2021-03-30,0.010805754241173785,0.16607020174232034
2021-03-31,-0.013677402656894181,0.17144902427851605
2021-04-01,0.02793461291800283,0.1619833715071005
2021-04-02,-0.014162973345588229,0.16301481158088213
2021-04-03,0.035083152822395526,0.17619831115190493
2021-04-04,0.024947460973370084,0.20700148760330575
2021-04-05,0.035940894421392394,0.16439867219917031
2021-04-06,0.032484462390401446,0.15959955237655737
2021-04-07,0.027777838337182434,0.15604245727482685
2021-04-08,0.020931856812933,0.1581884618937646
2021-04-09,-0.002953806451612902,0.15205595391705085
2021-04-10,0.01335733394833948,0.18701449723247274
2021-04-11,0.04438321658986177,0.2198024838709682
2021-04-12,0.01075509259259262,0.16757664814814835
2021-04-13,0.015080568654646305,0.16343869163199282
2021-04-14,-0.0034698981952799575,0.16367694585839906
2021-04-15,0.005925350023180327,0.16240615206305037
2021-04-16,-0.022042041763341114,0.1580461345707661
2021-04-17,0.011860572219658508,0.1873458652515001
