ds,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2021-06-28,-0.02931,0.15651
2021-06-29,-0.10044,0.1865
2021-06-30,-0.01317,0.16828
2021-07-01,0.09076,0.15317
2021-07-02,0.00907,0.14901
2021-07-03,0.02178,0.16305
2021-07-04,0.06683,0.21022
2021-07-05,-0.17066,0.20533
2021-07-06,-0.05036,0.16111
2021-07-07,-0.14812,0.20697
2021-07-08,-0.02865,0.15861
2021-07-09,-0.01678,0.1446
2021-07-10,-0.08689,0.18299
2021-07-11,-0.01747,0.22251
2021-07-12,-0.03415,0.20177
2021-07-13,-0.00542,0.16982
2021-07-14,-0.02597,0.14897
2021-07-15,0.07318,0.14569
2021-07-16,-0.11108,0.15785
2021-07-17,0.04283,0.16473
2021-07-18,0.02749,0.20715
2021-07-19,-0.04108,0.16888
2021-07-20,0.01065,0.15549
2021-07-21,-0.1878,0.16262
2021-07-22,-0.12116,0.15448
2021-07-23,-0.17968,0.17841
2021-07-24,-0.12026,0.16987
2021-07-25,-0.18771,0.26027
2021-07-26,-0.17985,0.19404
2021-07-27,-0.22979,0.1845
2021-07-28,-0.21172,0.15593
2021-07-29,-0.13564,0.14838
2021-07-30,-0.0373,0.14762
2021-07-31,-0.0848,0.20112
2021-08-01,-0.02738,0.25589
2021-08-02,-0.08102,0.17526
2021-08-03,-0.11809,0.1716
2021-08-04,-0.09415,0.15677
2021-08-05,0.04115,0.1597
2021-08-06,-0.02992,0.13736
2021-08-07,0.07633,0.1682
2021-08-08,0.18153,0.22314
2021-08-09,0.0806,0.14333
2021-08-10,-0.0152,0.17196
2021-08-11,-0.03421,0.14363
2021-08-12,-0.05892,0.16508
2021-08-13,-0.02857,0.1556
2021-08-14,-0.05125,0.17891
2021-08-15,0.10082,0.21611
2021-08-16,0.02652,0.17323
2021-08-17,-0.18498,0.22203
2021-08-18,-0.06238,0.17727
2021-08-19,-0.08024,0.18152
2021-08-20,-0.00462,0.15917
2021-08-21,-0.08598,0.16765
2021-08-22,-0.05236,0.24944
2021-08-23,0.0361,0.17298
2021-08-24,0.07385,0.15397
2021-08-25,-0.02652,0.17901
2021-08-26,0.028,0.17244
2021-08-27,-0.05394,0.17908
2021-08-28,-0.09672,0.20395
2021-08-29,-0.0112,0.22206
2021-08-30,-0.15061,0.21175
2021-08-31,-0.16892,0.22552
2021-09-01,-0.00511,0.17928
2021-09-02,0.0481,0.16551
2021-09-03,-0.01176,0.14492
2021-09-04,-0.16785,0.24176
2021-09-05,-0.02058,0.22159
2021-09-06,-0.10868,0.23515
2021-09-07,0.09663,0.15313
2021-09-08,-0.02926,0.16186
2021-09-09,0.01341,0.13528
2021-09-10,0.06082,0.13941
2021-09-11,0.03631,0.19282
2021-09-12,-0.01705,0.21371
2021-09-13,0.06129,0.17153
2021-09-14,-0.12453,0.1556
2021-09-15,-0.02022,0.16506
2021-09-16,0.08977,0.18714
2021-09-17,-0.12515,0.16374
2021-09-18,-0.04482,0.21031
2021-09-19,0.00399,0.26185
2021-09-20,0.08563,0.19619
2021-09-21,-0.00583,0.18264
2021-09-22,-0.01853,0.16642
2021-09-23,0.06804,0.17584
2021-09-24,-0.01281,0.1612
