date,Đà Nẵng,Bình Dương,Bình Phước,Bình Thuận,Bạc Liêu,Bắc Giang,Bắc Kạn,Bắc Ninh,Bến Tre,Cà Mau,Cao Bằng,Đồng Nai,Cần Thơ,Gia Lai,Hà Giang,Hà Nội,Hà Nam,Hà Tĩnh,Hồ Chí Minh city,Hòa Bình,Hưng Yên,Hải Dương,Đồng Tháp,Hải Phòng,Hậu Giang,Khánh Hòa,Kiên Giang,Kon Tum,Lào Cai,Lâm Đồng,Lai Châu,Lạng Sơn,Long An,Đăk Nông,Nam Định,Nghệ An,Ninh Bình,Ninh Thuận,Phú Thọ,Phú Yên,Quảng Bình,Quảng Nam,Quảng Ngãi,Quảng Ninh,Đắk Lắk,Quảng Trị,Sóc Trăng,Sơn La,Tây Ninh,Thái Bình,Thái Nguyên,Thừa Thiên - Huế,Thanh Hóa,Tiền Giang,Trà Vinh,Điện Biên,Tuyên Quang,Vĩnh Long,Vĩnh Phúc,Yên Bái,An Giang,Bà Rịa - Vũng Tàu,Bình Định
2021-06-20,0.005245134776662715,0.009060836378574282,0.005702595080871971,0.005356325026948419,0.004180711697421638,0.009272053284179767,0.0040369638779381755,0.029419183964735945,0.005113256607485106,0.004821044157474872,0.00592728035567964,0.010799023874923373,0.006097252006535278,0.005939780477169215,0.004977642131932687,0.020205027444792332,0.005859406489831784,0.00681811006193398,0.009986466372593627,0.006244003709936056,0.009259728298488798,0.012998124321031056,0.006598401513886995,0.009907353533210159,0.0039471002711156875,0.007051162018496539,0.006440326746166596,0.0037717782959949277,0.005590436313688649,0.006657207690479834,0.0032466696159648713,0.021757473611418207,0.007711658334525459,0.0041767430792901085,0.007400356076713708,0.012417471714199421,0.005019310803738816,0.003162607982249814,0.006822578499951692,0.003946526833028936,0.005398232045796035,0.026868767867314732,0.0072401212764665575,0.008362612275651193,0.008181089664868264,0.0063551651762663525,0.004998368577227325,0.005481229913340797,0.006066689564750698,0.007347044417450764,0.016799479093816558,0.009261071810832829,0.013193080766614898,0.0061056526261026095,0.004052928892994456,0.0042282751085188355,0.00612101438412631,0.004656513190268972,0.007032455085397345,0.005151657447512674,0.007188377625162922,0.007594510556322774,0.0063458235037441085
2021-06-21,0.004090948338803948,0.006818638059178155,0.005075475849165582,0.004414434690364546,0.003969257891525614,0.006753156834214367,0.0024567918421374243,0.01649106994343903,0.0050680055807475035,0.0045715236808468685,0.0035873023872790653,0.009193428671737032,0.00529291258468492,0.0037925845507291315,0.0031193934673682112,0.012854160625911012,0.003955317862001581,0.004519702332868608,0.006664708715867268,0.004003962232187724,0.005656689448986804,0.008568676000725778,0.0062041161126886275,0.006476833800684613,0.0036411166696590632,0.004904990117427787,0.005835684687159611,0.0022841981811647354,0.0035582669032620472,0.005029985552359903,0.0020585706007687225,0.012418362385510598,0.00758097880513762,0.003113996207801029,0.004938742684032615,0.008566838870403774,0.003324126511051659,0.0025941266763396744,0.004365543971189028,0.002916206379968615,0.002605697403476054,0.006810543854353806,0.004071619113607205,0.005243785690523966,0.0057191942286829575,0.002406864768337205,0.005198632154998507,0.0036398142546414823,0.005322697170853407,0.004970973811909606,0.009757975381301657,0.00387047977787991,0.009062148602702226,0.005352971416312256,0.0038533238498772034,0.002694344520614831,0.0038862994297281504,0.004751839204409449,0.004415741980853558,0.003303767177906545,0.007094378217761522,0.0061224602671218235,0.0043488196103155675
2021-06-22,0.003774963359299107,0.005686975222892984,0.00553097512893527,0.004317439353080873,0.004352765359917448,0.005693465448723698,0.0017863207337369303,0.010877545791736129,0.005504190278461747,0.005126393139334376,0.0025969178239759745,0.009330977202576769,0.005744290127362833,0.00366963535979278,0.002353126970273413,0.009888311743430423,0.0032419016394142908,0.004223086085906098,0.007756169505468242,0.0031117626547891505,0.004289778516435261,0.006665921121736982,0.007246501558868764,0.005255570953948502,0.004034831745917412,0.004610629143871751,0.0064273702460246555,0.0024791230915473905,0.0027882069264020966,0.004726420874380282,0.0015779748821623531,0.00831562705520931,0.007976827787645501,0.0030982758828425705,0.0041361910777119315,0.007812604963254699,0.0027716136876391067,0.0025689439040730597,0.003453923406438634,0.002969891345971439,0.0026182076128929022,0.006576163863103402,0.003953655205128039,0.004038628504977321,0.005805622112149275,0.002346856608793433,0.005766116994083234,0.0028124135825620994,0.00558020564148965,0.004156221500271857,0.006752883294755241,0.0036698938229422656,0.007963339323764237,0.005387941451644772,0.004596445040456385,0.0020702171709733445,0.002955482936921724,0.004495303782074058,0.003428473135913716,0.0025639185629900024,0.008120673646990473,0.005942736019534335,0.0044475708482194995
2021-06-23,0.003089461714632674,0.005467374780243791,0.004560778121107666,0.0038063542728735875,0.003827642001991025,0.004165862457972446,0.001005405801229365,0.006798913781450028,0.004364433542420268,0.004406064304834481,0.0035470692118518506,0.007888842877708352,0.004921023901714926,0.003282761986338292,0.0022026560441171013,0.007608966782246142,0.0026879614489223776,0.003903766974435886,0.00603331279315126,0.0020614492588382416,0.002791649191826919,0.005145634559298462,0.006013415028024332,0.004319557597456975,0.003515721346533222,0.004049866860314412,0.005255703441292233,0.0019317253359626353,0.0020584411157646655,0.004125063554358091,0.001865709878327694,0.004132797896778415,0.006030967174563195,0.0027081645317973252,0.003397308215986524,0.005047877686357979,0.0021463852360721495,0.0022488289275768465,0.0027117548329159825,0.002512456081331393,0.00233553384988432,0.007759826094667532,0.003750731476280144,0.003092228727832084,0.004913557575359456,0.0023591834103469534,0.00489386531666592,0.002545420798352023,0.005143784893781151,0.0034193871951779843,0.006157709170719099,0.003682977165839831,0.005702543401127503,0.005804296646057369,0.003745104955378643,0.0024403480764072904,0.0023750893204041255,0.003930249270747392,0.0027033807475593556,0.0028389052945581765,0.006989044177263289,0.0051807078540984115,0.003867642297166914
2021-06-24,0.004496508467093247,0.008677437359864341,0.006263625223889311,0.00574668527239821,0.004970252893262951,0.005392379430808333,0.0017053490743680715,0.01103803676319864,0.007120222442257326,0.0057475194672072,0.0024222030486745583,0.011595259287970805,0.00669583992084076,0.006032552892371633,0.002320777522053496,0.011533755910418546,0.0038631384064116412,0.005702810628298932,0.011191212919011036,0.0031498903159780894,0.004792017935694033,0.0074776636734505434,0.008360582998655825,0.006791214407617572,0.004593497711590497,0.010718358820074481,0.007394661708077836,0.0033604298959753003,0.0030642284763340846,0.006312928311980344,0.0016723492026102691,0.007629366914780365,0.010688571071963873,0.003829626081276073,0.005308505684244177,0.008097998871924923,0.0032795439410266735,0.003679499214670284,0.0038280460601771587,0.0037714358015747975,0.0044786700249396195,0.020828230369106672,0.006791240911736284,0.004900349670643462,0.0078083051098877185,0.00510849100356093,0.006289301518805968,0.0028784362531616954,0.006634915047779809,0.004750430682224365,0.006666462724630377,0.007617755450183034,0.008589679715233039,0.006818131360856041,0.0049420770746810005,0.002222137567295359,0.0029584035355361385,0.005710367353534945,0.0038280532942274394,0.0026707398988132774,0.009015325491501592,0.0077652820559557054,0.007643080225934207
2021-06-25,0.009839918138803496,0.019796583241212543,0.011379046929648974,0.012010585251864872,0.01077266001062191,0.007835432111193101,0.001980705092732691,0.01222646252635656,0.016098821476844462,0.011812926719316857,0.002756949129366586,0.023125102418542858,0.014442255036519238,0.008511333165702455,0.0028388393739620923,0.016030270480009205,0.00562174091540257,0.007862164970541121,0.013315996930437888,0.003978406946219028,0.006234031906007306,0.010703692851901097,0.018666203199115362,0.010096455181954097,0.009644133706154677,0.013123510973547175,0.015051574483807544,0.005557746512482435,0.004138358409891938,0.012527965991625738,0.0021136894787413354,0.00730702333701733,0.022001248891169757,0.006495518636030721,0.008376407082154843,0.011026020778863912,0.004959293835512403,0.007972380975400014,0.005249051680573043,0.007576598180698703,0.004877474491495978,0.01262190589127605,0.011065535732733207,0.006559905814870409,0.012811143552276014,0.004868502983236108,0.013588108245589037,0.0036576099329337962,0.016241653591213878,0.00769225890807315,0.007507033412232447,0.0087016524541861,0.012278741183118056,0.020290891203383163,0.011485383092857404,0.0028441087103255303,0.003651044702283996,0.013260724491964294,0.00528428502096052,0.0034607356199270268,0.019133149437392336,0.016286310260736892,0.01253386602129032
2021-06-26,0.0053512691673571425,0.009772728610065515,0.0043041210266707266,0.0042902060693966685,0.0035035182555156604,0.005055320603687708,0.0013299287274036878,0.008578830852269757,0.004557438623833006,0.003957137611114045,0.0018042203296598307,0.009404326835212468,0.005473440069481036,0.004942103025763934,0.0019539164134595916,0.01087384931569898,0.003918555429223928,0.0040935667538711095,0.0111913057054005,0.002789344400174887,0.003398846884007802,0.008599106169949916,0.005195101540330397,0.00577449120796128,0.003848041136759286,0.010599420676671741,0.005410007024409395,0.00280333838242713,0.002688034590299324,0.0052435756891469005,0.0014673650970497534,0.005233853989639988,0.007242754476602297,0.0029979362195711574,0.004488079857477077,0.008048212148338807,0.0028388577458818127,0.0031136184892932408,0.003410380418220735,0.0023658999642942715,0.0028083131083221223,0.010176320319302998,0.003987200003338924,0.004411058556875002,0.005721692327202063,0.0028414201808123363,0.004185521344540773,0.0033933983116100773,0.005008924147829576,0.004834818522347779,0.005040815815787242,0.0045165442176023024,0.00657498130660703,0.007221611095751728,0.0034006025381361797,0.0020505785113899013,0.0026697895773963825,0.005319398889751539,0.0033354261943818278,0.002386297088817102,0.008069673372525435,0.006665676019071013,0.0061868478561913545
2021-06-27,0.008812417254532967,0.010808312395486987,0.008305248665253746,0.007346473650142246,0.006375574829786318,0.006602644176279547,0.002773081066951323,0.024184261892685487,0.007480876437269727,0.007366795036390349,0.006037174324851792,0.014666133988701329,0.00828322456999981,0.007510918234782057,0.004179308584823677,0.019116769410845183,0.006544291132795588,0.006378472715861915,0.014353093692020416,0.005065278827134962,0.0067014543103492506,0.014598783829357639,0.010135672410388654,0.009791966774588476,0.005836787089997387,0.012497444547394895,0.009356315889467766,0.004550744115504424,0.005125956856129458,0.008433293639421625,0.002823301135660955,0.014983291383280164,0.01053333759028863,0.005308366425718183,0.007549452998924994,0.010540480958711976,0.004941333601231205,0.004606179965978312,0.006183886825008711,0.004623434007993849,0.0035942321503027474,0.009480143787658442,0.005710148580464209,0.007903548905008271,0.009738577112927683,0.003328283021885418,0.008107878515654914,0.005931793444579798,0.009085287346162794,0.008203567150304422,0.014911017027531616,0.005430250032910414,0.012044911611685983,0.010055932203908604,0.006254913438192168,0.003917997102901482,0.005408970515377255,0.006698400049264446,0.00630129161298414,0.004413368521814472,0.011524024093264938,0.00998185945468711,0.009260658400491464
2021-06-28,0.011004900719270344,0.01399010914620018,0.00957421174088018,0.008530731294295319,0.007254261827612991,0.011773629430110547,0.0028436189997962063,0.015367560276138729,0.008433938860178665,0.008450091646581967,0.004037870096228289,0.01763761960432403,0.009428126169499854,0.00886765914077908,0.0037148162460951878,0.016654128785793258,0.005712810427282803,0.007603871070172252,0.01765169043767595,0.00498232447028741,0.00720975088656841,0.011306743818977042,0.011243719659258808,0.009556289386551951,0.006624849070987299,0.015042198005344015,0.010800078690274474,0.005387045972568819,0.004737598246773191,0.010163120113230756,0.0026071319073320436,0.010888575075074096,0.012261283649994188,0.006284149850155436,0.007718506603617142,0.013987072224887789,0.005130160135435651,0.006379609599866343,0.005940313275214883,0.005351160701763789,0.004436282021294256,0.01016735285370884,0.006373667878593977,0.006782383802320961,0.011048201775115661,0.003783523235059821,0.009174651989488875,0.004541372848773768,0.010061854616809047,0.007373008589613036,0.009971914625205962,0.0062525637975542146,0.013274716038321987,0.01108739228283502,0.007098863117079344,0.0034528800196622213,0.0047113852698051125,0.007680665925993878,0.005709361049642079,0.00421099161399511,0.013320996062354826,0.012740602651917001,0.010987571558771003
2021-06-29,0.01235512931092942,0.019767086057316127,0.009646129964348736,0.009656702041635176,0.008227587826031306,0.00897215344146872,0.002286874153687278,0.015762097656053152,0.013742020720273173,0.009354444801081992,0.003094057700013259,0.019872157583917277,0.01373945842549006,0.00995000259457452,0.0032499727989707353,0.01799207554517207,0.006595989058511581,0.007090792915113956,0.02454824743293256,0.004556189723096408,0.005978993437321172,0.013749047169312892,0.013328433434090707,0.010159408269055944,0.00800753291486539,0.021264103580575774,0.012483181382353738,0.005780801831615993,0.004727314524340204,0.010787654432554705,0.0024853367335493574,0.008345027080148051,0.019935920864775424,0.006296899751477194,0.007944268125277446,0.014338235591562448,0.005056012152497285,0.006285412399431068,0.005943721889062471,0.005269543597281849,0.004398509765111253,0.010239882667927712,0.006750633269598851,0.007594884788944008,0.011674266352580412,0.0037730325555202023,0.0101691297727878,0.0053262370931174766,0.012027319699461735,0.008451787185916243,0.008888185564522342,0.0065100745784715626,0.011852172387193589,0.014804195040318394,0.00843638529023622,0.0034459241857419487,0.004384073086852926,0.013798524709496784,0.005827247088906424,0.003968099108357144,0.01991890764465252,0.0140452658474569,0.012989666224590406
